ZIP Code,Total Population,Poverty Count,Median Household Income,SNAP Households,White Population,Black Population,American Indian Population,Asian Population,Pacific Islander Population,Other Race Population,Two or More Races Population,High School Graduate,Bachelor's Degree,Master's Degree,Doctorate Degree
91745,54996,6075,106611.0,1107,12514,519,414,22995,152,11834,6568,8451,9769,3510,561
91746,28256,3341,84967.0,851,5683,415,497,3467,57,13299,4838,5246,2304,698,75
91748,43137,5049,83455.0,1188,4206,693,369,25753,163,9233,2720,7682,8185,2229,287
91750,33267,2558,104827.0,884,18501,1334,255,3394,0,3252,6531,4257,6010,2698,516
91752,37551,3248,113450.0,845,12007,2565,485,3807,9,12769,5909,6191,3815,1533,135
91754,33176,4350,81890.0,1141,4281,455,295,20321,34,5402,2388,5219,6471,2130,335
91755,26413,3467,74362.0,823,2582,145,228,18272,0,3196,1990,5038,4871,954,179
91759,290,6,118750.0,4,231,10,0,0,0,0,49,10,80,47,28
91761,62506,5391,97396.0,2160,18698,3732,1408,5814,364,18030,14460,9556,6220,1777,238
91762,63656,8113,76289.0,2146,19865,3259,671,6443,123,16988,16307,9577,6348,2199,196
91763,37515,6144,77627.0,1544,10384,2036,1044,3830,36,12314,7871,6074,2840,1042,207
91764,55412,9237,75605.0,2367,14588,4472,1257,3481,128,17313,14173,8412,4976,1128,192
91765,44779,4534,104737.0,914,8002,1551,505,27162,77,3183,4299,4078,11758,4149,917
91766,68673,8663,77699.0,3291,14500,3510,1325,9444,132,26262,13500,10592,6698,1725,222
91767,50308,7568,80201.0,2490,13344,3048,948,4591,75,18200,10102,8345,4842,1835,305
91768,34921,4825,76313.0,1806,7945,1487,1459,3021,135,14250,6624,5532,2000,684,165
91770,58893,7449,73757.0,1872,4686,406,634,38580,107,11484,2996,10705,8246,1336,318
91773,33917,3075,105926.0,571,15598,1171,403,5997,85,4157,6506,4467,5712,3191,347
91775,23776,2320,113703.0,388,5344,325,52,12345,23,3208,2479,2381,5734,2082,488
91776,37769,4915,79926.0,1100,4108,448,243,22690,347,6680,3253,6543,6018,1721,165
91780,35136,3458,101746.0,833,6005,179,262,22779,152,2400,3359,4804,6852,2961,363
91784,26900,1384,157118.0,339,15860,1225,160,3474,26,2364,3791,2425,5338,2818,523
91786,55519,5926,86961.0,1982,22227,4266,776,5048,175,12168,10859,8896,7374,3134,391
91789,40933,3133,125742.0,709,5799,847,118,27666,181,3282,3040,4364,10632,3935,613
91790,44791,4031,100142.0,1396,9882,1394,945,10450,30,13149,8941,8531,5278,1477,218
91791,33321,3226,100365.0,1156,7672,1005,442,10127,29,9140,4906,5188,6105,1625,287
91792,30921,3407,96383.0,1199,4056,2096,294,13015,221,7057,4182,4776,5386,1703,128
91801,53730,6116,85549.0,2036,8129,1566,738,27572,0,10504,5221,8025,10862,4023,798
91803,27803,3795,84537.0,1037,3943,490,216,14073,136,5128,3817,3817,5197,1646,278
91901,18300,1845,116600.0,405,14504,310,134,474,73,976,1829,2486,2647,855,191
91902,17445,1017,121727.0,210,7318,255,20,2578,53,3172,4049,2075,3312,1437,148
91905,1466,287,70450.0,29,689,9,162,12,4,66,524,487,69,51,10
91906,3375,507,58561.0,186,2235,204,247,15,0,279,395,436,226,18,0
91910,77957,7978,87705.0,3218,28568,2888,1054,8215,193,14697,22342,9710,10773,3610,326
91911,84619,8862,79334.0,3664,28566,3447,1186,6106,324,15805,29185,13214,8068,2374,225
91913,57067,3281,129412.0,986,14377,4767,59,15044,356,8788,13676,5403,9776,3848,287
91914,17036,626,164398.0,185,6606,550,125,3065,0,1406,5284,1531,3530,1497,215
91915,35385,2111,138283.0,979,10726,2853,213,8166,33,4328,9066,2304,7408,2770,363
91916,1757,39,110833.0,16,1430,0,0,4,0,236,87,349,98,103,24
91917,889,311,157941.0,21,601,15,9,0,0,116,148,54,61,62,20
91931,735,57,49808.0,123,514,0,0,0,0,206,15,103,109,0,0
91932,25897,3938,79071.0,1233,12669,1185,133,1765,59,3498,6588,4301,2885,971,198
91934,1265,549,50797.0,45,948,0,0,0,0,233,84,280,170,0,0
91935,9466,315,138953.0,135,7153,76,97,136,19,415,1570,1786,1378,619,36
91941,33706,2347,111607.0,1010,21585,2385,179,1740,147,2499,5171,3427,6515,3476,438
91942,40920,5076,81262.0,1400,25146,2979,231,2866,87,2665,6946,4502,7486,2736,608
91945,27531,2790,79381.0,1528,9939,4099,562,2616,123,4373,5819,4935,2416,1246,85
91948,123,16,,0,123,0,0,0,0,0,0,0,72,0,0
91950,57173,8017,63858.0,3547,18533,2467,723,9404,227,13325,12494,9312,4898,955,172
91962,2457,194,140270.0,82,2088,18,0,0,0,31,320,261,594,124,46
91963,617,304,25208.0,23,148,0,0,0,0,384,85,0,53,0,0
91977,62957,6493,92407.0,3118,25676,7761,829,4534,286,12120,11751,8309,7580,2758,297
91978,10511,1404,111506.0,569,4734,1208,7,642,98,1788,2034,1291,1423,507,32
91980,157,0,,0,0,0,0,0,0,157,0,32,0,22,0
92003,4978,826,110577.0,113,3461,13,0,110,0,426,968,490,1006,281,55
92004,3030,74,71582.0,17,1988,1,0,1,0,299,741,854,607,143,0
92007,11764,1597,165063.0,25,8929,46,0,433,0,274,2082,393,3158,1317,660
92008,27707,2218,105371.0,497,19837,292,529,2084,161,1327,3477,2489,6772,2928,823
92009,45778,2803,162128.0,614,33578,590,31,4023,0,1848,5708,1939,11922,5726,1097
92010,17300,1418,120612.0,200,11659,110,38,2408,0,884,2201,1215,4252,1470,417
92011,23715,1466,154985.0,286,16265,202,44,2744,0,824,3636,884,6983,2790,950
92014,13260,527,194528.0,100,10295,186,0,839,0,700,1240,454,3924,2171,1164
92019,45801,4825,99266.0,2229,32680,903,268,1476,313,3140,7021,6145,6489,2945,259
92020,58490,9543,72822.0,3963,37253,3789,301,2599,530,6141,7877,8565,6475,2629,422
92021,69306,12426,69979.0,5127,42095,4449,1102,3696,254,8291,9419,11496,7354,2091,293
92024,50030,2879,149080.0,463,39901,343,139,2339,84,1829,5395,2675,14700,6283,1572
92025,50046,8303,71716.0,2410,22150,1245,959,2788,132,9385,13387,7002,6222,2428,317
92026,53041,5939,97301.0,1260,29452,1065,503,4332,494,7796,9399,6648,7827,3422,815
92027,55232,6505,86106.0,1839,25631,1141,1040,3618,97,10415,13290,8109,6148,1841,262
92028,50905,5734,102346.0,1064,29236,984,541,2150,83,7389,10522,6278,7455,3380,450
92029,20296,998,120038.0,495,13849,430,110,1874,28,1493,2512,1870,4208,2044,430
92036,3128,316,71875.0,76,2573,44,6,0,15,78,412,498,536,197,66
92037,39284,3198,141822.0,452,28477,478,61,4680,76,939,4573,1687,10001,6203,2462
92040,45978,4040,103585.0,1613,35349,931,465,780,184,3259,5010,7305,5390,2038,167
92054,37546,4997,76974.0,1748,20316,1255,1262,1604,205,4270,8634,4586,6881,2533,297
92055,11181,0,,0,6317,1063,253,595,69,1651,1233,502,119,0,0
